pair_id,case_id,source_line_no,function_id_a,function_id_b,label,graphcodebert_prediction,llm_bcb_style_prediction,error_type,confidence,failure_category,normalized_category,recommended_route,static_solvability,dynamic_solvability,execution_priority,method_name_a,method_name_b,token_jaccard,strict_clone,bcb_style_clone
1,2,2,10690321,8490297,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,low,readData,copyFile,0.043636,no,no
2,3,3,13563706,14231545,1,0,1,FN,0.85,partial_functionality,partial_functionality,subfunction_dynamic_plus_preference,not_reliably_solvable_static,medium,low,doGet,createTempFile,0.052209,no,yes
3,4,4,21998571,23246123,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,readTwitterFead,createDialogArea,0.186441,no,no
4,7,7,3401153,7118860,1,0,1,FN,0.9,partial_functionality,partial_functionality,subfunction_dynamic_plus_preference,not_reliably_solvable_static,medium,medium,getHTML,getEncoding,0.298701,no,yes
5,8,8,350482,10540676,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,doVersionCheck,checkForUpgrade,0.098361,no,no
6,11,11,8166767,19109981,1,0,1,FN,0.85,partial_functionality,partial_functionality,subfunction_dynamic_plus_preference,not_reliably_solvable_static,medium,medium,invoke,startScript,0.137097,no,yes
7,18,18,8983517,22625683,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,getUser,downloadModel,0.121951,no,no
8,21,21,9210168,20210699,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,run,getTicketsForQueue,0.140741,no,no
9,23,23,20210699,3631989,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,getTicketsForQueue,run,0.090164,no,no
10,28,28,22503685,6299111,1,0,1,FN,0.9,partial_functionality,partial_functionality,subfunction_dynamic_plus_preference,not_reliably_solvable_static,medium,medium,readGeoParserResult,retrieveQ,0.125,no,yes
11,30,30,3584508,13891080,1,0,1,FN,0.95,partial_functionality,partial_functionality,subfunction_dynamic_plus_preference,not_reliably_solvable_static,medium,medium,copyResource,copyFile,0.12963,no,yes
12,32,32,1169642,12724876,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,run,loadURL,0.146853,no,no
13,33,33,3584508,21308543,1,0,1,FN,0.9,partial_functionality,partial_functionality,subfunction_dynamic_plus_preference,not_reliably_solvable_static,medium,medium,copyResource,copyFile,0.142857,no,yes
14,37,37,3584508,10385815,1,0,1,FN,0.9,long_range_semantics,long_range_semantics,hybrid_review,partially_solvable,medium,medium,copyResource,copy,0.12963,no,yes
15,39,39,1169642,3631989,0,1,0,FP,0.95,partial_functionality,partial_functionality,hybrid_review,partially_solvable,medium,medium,run,run,0.21,no,no
16,40,40,10690321,2511579,0,1,0,FP,0.98,other,other,hybrid_review,partially_solvable,medium,low,readData,extractZipFile,0.042105,no,no
17,41,41,8665321,1005108,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,getNetworkServersIPs,googleImageSearch,0.22,no,no
18,44,44,22844377,22625683,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,scrapeForIsbns,downloadModel,0.137255,no,no
19,48,48,7633336,3409084,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,executeHttpGet,getRequestContent,0.177778,no,no
20,49,49,18097962,12171364,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,getVersion,getFrameworkFactory,0.220588,no,no
21,52,52,3584508,22993368,1,0,1,FN,0.85,partial_functionality,partial_functionality,subfunction_dynamic_plus_preference,not_reliably_solvable_static,medium,medium,copyResource,decodeFileToFile,0.19697,no,yes
22,63,63,7633336,10540676,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,executeHttpGet,checkForUpgrade,0.070175,no,no
23,65,65,160739,14819747,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,createOutputStream,main,0.059406,no,no
24,66,66,3584508,5148212,1,0,1,FN,0.85,partial_functionality,partial_functionality,subfunction_dynamic_plus_preference,not_reliably_solvable_static,medium,medium,copyResource,copyFile,0.289855,no,yes
25,70,70,11475527,10540676,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,addDataFromURL,checkForUpgrade,0.090361,no,no
26,71,71,10690321,20924119,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,low,readData,gzip,0.050909,no,no
27,75,75,14819747,11933797,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,main,CopyFile,0.072727,no,no
28,77,77,15799935,22114133,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,saveAttachmentBody,actionPerformed,0.04955,no,no
29,78,78,2221297,10540676,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,getURLContent,checkForUpgrade,0.130178,no,no
30,90,90,7891509,22625683,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,PageLoader,downloadModel,0.122807,no,no
31,97,97,7846688,21016435,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,postData,getFullScreenUrl,0.23,no,no
32,99,99,7891509,16215393,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,PageLoader,importSequences,0.12069,no,no
33,100,100,16353490,293167,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,executePost,doVersionCheck,0.18,no,no
34,102,102,18544890,350482,0,1,0,FP,0.95,partial_functionality,partial_functionality,hybrid_review,partially_solvable,medium,medium,get,doVersionCheck,0.227273,no,no
35,103,103,18891988,15409512,1,0,1,FN,0.85,partial_functionality,partial_functionality,subfunction_dynamic_plus_preference,not_reliably_solvable_static,medium,medium,getFile,main,0.111842,no,yes
