pair_id,case_id,source_line_no,function_id_a,function_id_b,label,graphcodebert_prediction,llm_bcb_style_prediction,error_type,confidence,failure_category,normalized_category,recommended_route,static_solvability,dynamic_solvability,execution_priority,method_name_a,method_name_b,token_jaccard,strict_clone,bcb_style_clone
1,2,2,10690321,8490297,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,low,readData,copyFile,0.043636,no,no
2,3,3,13563706,14231545,1,0,1,FN,0.85,partial_functionality,partial_functionality,subfunction_dynamic_plus_preference,not_reliably_solvable_static,medium,low,doGet,createTempFile,0.052209,no,yes
3,4,4,21998571,23246123,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,readTwitterFead,createDialogArea,0.186441,no,no
4,5,5,14617444,2465747,0,1,0,FP,0.9,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,readUNI,postRequest,0.202703,no,no
5,7,7,3401153,7118860,1,0,1,FN,0.9,partial_functionality,partial_functionality,subfunction_dynamic_plus_preference,not_reliably_solvable_static,medium,medium,getHTML,getEncoding,0.298701,no,yes
6,8,8,350482,10540676,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,doVersionCheck,checkForUpgrade,0.098361,no,no
7,11,11,8166767,19109981,1,0,1,FN,0.85,partial_functionality,partial_functionality,subfunction_dynamic_plus_preference,not_reliably_solvable_static,medium,medium,invoke,startScript,0.137097,no,yes
8,14,14,22844377,12724876,0,1,0,FP,0.9,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,scrapeForIsbns,loadURL,0.111111,no,no
9,16,16,16353490,5989666,0,1,0,FP,0.9,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,executePost,postXml,0.336957,no,no
10,18,18,8983517,22625683,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,getUser,downloadModel,0.121951,no,no
11,21,21,9210168,20210699,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,run,getTicketsForQueue,0.140741,no,no
12,23,23,20210699,3631989,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,getTicketsForQueue,run,0.090164,no,no
13,28,28,22503685,6299111,1,0,1,FN,0.9,partial_functionality,partial_functionality,subfunction_dynamic_plus_preference,not_reliably_solvable_static,medium,medium,readGeoParserResult,retrieveQ,0.125,no,yes
14,30,30,3584508,13891080,1,0,1,FN,0.95,partial_functionality,partial_functionality,subfunction_dynamic_plus_preference,not_reliably_solvable_static,medium,medium,copyResource,copyFile,0.12963,no,yes
15,31,31,10690321,22046596,0,1,0,FP,0.9,long_range_semantics,long_range_semantics,static_summary_plus_selective_dynamic,partially_solvable,medium,low,readData,copy,0.034221,no,no
16,32,32,1169642,12724876,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,run,loadURL,0.146853,no,no
17,33,33,3584508,21308543,1,0,1,FN,0.9,partial_functionality,partial_functionality,subfunction_dynamic_plus_preference,not_reliably_solvable_static,medium,medium,copyResource,copyFile,0.142857,no,yes
18,37,37,3584508,10385815,1,0,1,FN,0.9,long_range_semantics,long_range_semantics,hybrid_review,partially_solvable,medium,medium,copyResource,copy,0.12963,no,yes
19,39,39,1169642,3631989,0,1,0,FP,0.95,partial_functionality,partial_functionality,hybrid_review,partially_solvable,medium,medium,run,run,0.21,no,no
20,40,40,10690321,2511579,0,1,0,FP,0.98,other,other,hybrid_review,partially_solvable,medium,low,readData,extractZipFile,0.042105,no,no
21,41,41,8665321,1005108,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,getNetworkServersIPs,googleImageSearch,0.22,no,no
22,43,43,17202158,19109981,0,1,0,FP,0.9,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,readZoneIDs,startScript,0.177419,no,no
23,44,44,22844377,22625683,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,scrapeForIsbns,downloadModel,0.137255,no,no
24,47,47,19494842,18544890,0,1,0,FP,0.85,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,callService,get,0.185185,no,no
25,48,48,7633336,3409084,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,executeHttpGet,getRequestContent,0.177778,no,no
26,49,49,18097962,12171364,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,getVersion,getFrameworkFactory,0.220588,no,no
27,51,51,22844377,3409084,0,1,0,FP,0.9,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,scrapeForIsbns,getRequestContent,0.095238,no,no
28,52,52,3584508,22993368,1,0,1,FN,0.85,partial_functionality,partial_functionality,subfunction_dynamic_plus_preference,not_reliably_solvable_static,medium,medium,copyResource,decodeFileToFile,0.19697,no,yes
29,62,62,324679,16215393,0,1,0,FP,0.9,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,import_hints,importSequences,0.175824,no,no
30,63,63,7633336,10540676,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,executeHttpGet,checkForUpgrade,0.070175,no,no
31,65,65,160739,14819747,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,createOutputStream,main,0.059406,no,no
32,66,66,3584508,5148212,1,0,1,FN,0.85,partial_functionality,partial_functionality,subfunction_dynamic_plus_preference,not_reliably_solvable_static,medium,medium,copyResource,copyFile,0.289855,no,yes
33,70,70,11475527,10540676,0,1,0,FP,0.95,lexical_or_api_overlap,lexical_or_api_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,addDataFromURL,checkForUpgrade,0.090361,no,no
34,71,71,10690321,20924119,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,low,readData,gzip,0.050909,no,no
35,75,75,14819747,11933797,0,1,0,FP,0.95,boilerplate_overlap,boilerplate_overlap,dynamic_rejection_oracle,solvable_by_better_static,high,high,main,CopyFile,0.072727,no,no
